track_id,title,artist,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mbti
3bnVBN67NBEzedqQuWrpP4,Tear in My Heart,Twenty One Pilots,https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3,0.655,0.632,2,25.198,1,0.0489,0.0189,0.0,0.0722,0.447,120.113,isfj
3znD2JTezT8ZLkp2pmft2l,Talk to Me,Cavetown,https://i.scdn.co/image/ab67616d0000b2731bf45d47ebe7291c580309ed,0.626,0.323,4,20.393,1,0.0339,0.667,0.0,0.0605,0.234,130.082,isfj
32tUYhAygMdx9XxFxxj3It,Susie Save Your Love,Allie X,https://i.scdn.co/image/ab67616d0000b27332ef63bcb552e1e9c1ecf475,0.646,0.595,10,23.291,0,0.0512,0.00457,5.79e-06,0.0527,0.772,73.973,isfj
3GIIv6Eo0WSuM9Bxx5DTdR,watch you sleep.,girl in red,https://i.scdn.co/image/ab67616d0000b273377a4fbc5395a5b6545db319,0.451,0.222,2,13.626000000000001,1,0.0314,0.931,0.00599,0.0908,0.381,132.874,isfj
4tN2kX3tYCr1R4qCSS2LDV,Things That Make It Warm,Cavetown,https://i.scdn.co/image/ab67616d0000b2739aff38f63984dd93cd1d750b,0.716,0.16,2,13.003,1,0.0424,0.643,0.0,0.11,0.513,119.877,isfj
5hQjB552fc7TQAtdzJTzLo,Emo Song,beabadoobee,https://i.scdn.co/image/ab67616d0000b273942201cac6bfe1367b017286,0.409,0.77,10,21.656,1,0.0441,0.00188,0.0028,0.103,0.448,155.97,isfj
3ZiuxcBeRanTjfHzVBuuQe,Would You Be So Kind,dodie,https://i.scdn.co/image/ab67616d0000b27309815974458b8b0535b23a7d,0.662,0.616,4,20.378999999999998,1,0.206,0.156,0.000222,0.126,0.614,160.071,isfj
3BIT6YtDZtuPmiwuDITF8J,Heart Eyes,COIN,https://i.scdn.co/image/ab67616d0000b273e086dd341bb0c30d235f9cac,0.538,0.701,0,23.019,1,0.0368,0.11,0.000793,0.0979,0.321,164.895,isfj
5dwQhzeE8LXpl9sbZJZmQS,the lakes - bonus track,Taylor Swift,https://i.scdn.co/image/ab67616d0000b2735fce26509342fe7c8f6dad3a,0.509,0.262,2,18.469,1,0.0311,0.85,1.68e-06,0.0851,0.287,89.846,isfj
6aytsGpo91kYvyiT0qZca3,GODSPLAN,keshi,https://i.scdn.co/image/ab67616d0000b273555074039baa0bce2a82a076,0.657,0.812,0,25.222,0,0.0582,0.0818,0.0,0.245,0.412,149.983,isfj
7kQkmyoHCEqwe7QwDbkSXM,Let's Fall in Love for the Night,FINNEAS,https://i.scdn.co/image/ab67616d0000b273b226999f1df0dcdec8a53abe,0.737,0.408,5,22.059,1,0.104,0.802,0.0,0.171,0.374,127.921,isfj
4efZXKOFm1rk22FDjScLbE,Sunkissed,khai dreams,https://i.scdn.co/image/ab67616d0000b2734f9b7b9ec403184a86d1c019,0.768,0.354,6,20.516,1,0.0539,0.592,0.0,0.399,0.793,153.97,isfj
41Y2sKD6964zZsVKcVdfIA,end of summer,slchld,https://i.scdn.co/image/ab67616d0000b2739000350f450d631243fd1a50,0.557,0.732,6,25.796,1,0.07,0.726,2.28e-06,0.288,0.24,84.03,isfj
5EYi2rH4LYs6M21ZLOyQTx,Loving Is Easy (feat. Benny Sings),Rex Orange County,https://i.scdn.co/image/ab67616d0000b2730165d0189ec5f74ca96c3137,0.756,0.609,3,22.073,1,0.0544,0.217,0.00482,0.0959,0.537,117.024,isfj
2zkhW5YaOPPaPgNWXmjTjF,Come Around,Hoodie Allen,https://i.scdn.co/image/ab67616d0000b273328a91e8cb13b47ba6bcebef,0.726,0.727,9,25.081,1,0.0969,0.363,0.0,0.231,0.815,77.543,isfj
3Gp3KGChMmdv5v8ahwOCCR,Like Or Like Like,Miniature Tigers,https://i.scdn.co/image/ab67616d0000b2735cec017b5b58860874b5ae55,0.75,0.528,2,25.357,1,0.0277,0.0297,1.15e-05,0.0957,0.864,96.094,isfj
2mAy8zQhZJICLFUEVGQzbE,The Other Side,Conan Gray,https://i.scdn.co/image/ab67616d0000b273fd9f691e3de237daccfbd35c,0.602,0.471,5,19.955,1,0.0406,0.515,3.29e-05,0.222,0.256,107.904,isfj
2IVsRhKrx8hlQBOWy4qebo,Mr Loverman,Ricky Montgomery,https://i.scdn.co/image/ab67616d0000b27367ee332af483acd134fd6fd0,0.639,0.526,0,23.303,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033,isfj
45h4w81P5iJJTSeR0jJUQ8,She,dodie,https://i.scdn.co/image/ab67616d0000b273f5594201858122e8f30fa7e3,0.479,0.154,2,14.949,1,0.0369,0.755,0.0261,0.11,0.232,92.457,isfj
5NvOZCjZaGGGL597exlQWv,Line Without a Hook,Ricky Montgomery,https://i.scdn.co/image/ab67616d0000b27367ee332af483acd134fd6fd0,0.432,0.652,8,25.031,1,0.0285,0.262,0.0,0.258,0.507,190.028,isfj
0APAKxMXB7jdDs4kw1l30y,OK,Wallows,https://i.scdn.co/image/ab67616d0000b27318613efad01d21a4a67cc532,0.72,0.625,7,23.726,1,0.0362,0.0112,0.0076,0.0999,0.818,102.006,isfj
6lxJDscGCALBzA0BdhGCiL,It Gets Better,Rex Orange County,https://i.scdn.co/image/ab67616d0000b273733e6d7818eef87d20df86b5,0.704,0.379,5,21.512,1,0.0318,0.482,0.0,0.0684,0.521,121.995,isfj
3Yvk0ZLxMlt6ioasvdN6vB,Lemon Boy,Cavetown,https://i.scdn.co/image/ab67616d0000b273a29186e92ad38b89ae1611ea,0.509,0.478,4,19.948999999999998,1,0.0392,0.185,1.4e-06,0.0891,0.323,139.926,isfj
2IOFZdYYkFxEHVz1w34PoL,Cherry,Harry Styles,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,0.53,0.512,7,20.739,1,0.0259,0.615,0.00453,0.129,0.411,95.946,isfj
7lGKEWMXVWWTt3X71Bv44I,Unsteady,X Ambassadors,https://i.scdn.co/image/ab67616d0000b27352e8aa3275f7a3ee9c1e3628,0.389,0.665,0,23.831,1,0.0644,0.178,0.000732,0.116,0.199,117.055,infj
67QoewfzLp7LdiPaoGOfXU,Morning Air,We the Young,https://i.scdn.co/image/ab67616d0000b2735120c209ef904cd20d0eb69d,0.445,0.257,0,13.582999999999998,1,0.0385,0.935,0.00191,0.0898,0.0514,128.662,infj
6FLmR8fbxDo0BvJrp3AGzT,VH5,Denaylon,https://i.scdn.co/image/ab67616d0000b2732ff6c7155f0bf5d1d87cc1ae,0.66,0.925,7,25.993000000000002,1,0.0367,0.194,0.0656,0.162,0.501,92.489,infj
5AUeMHCzQO1mH8NXATxAgS,Night Swim,HANSSØN,https://i.scdn.co/image/ab67616d0000b27314ba13dd319d92c8e6523148,0.482,0.708,5,24.106,0,0.0322,0.31,0.00864,0.105,0.169,93.454,infj
6cr4lKVr4P4zhiwM2iSyp9,Walking in the Sun - ARTEKK Remix,PANG!,https://i.scdn.co/image/ab67616d0000b27378d1421e5957b85498575280,0.38,0.924,7,26.172,1,0.34,0.102,8.24e-05,0.436,0.74,163.006,infj
3hWXGEA62arwOFZI7dFkjc,Nostalgia,Alex Kate,https://i.scdn.co/image/ab67616d0000b273a58968b62eedae7defed9018,0.661,0.62,9,22.240000000000002,0,0.0481,0.741,0.000638,0.0938,0.523,109.986,infj
4fBccEs6Ao7Dy8jJSrFjms,Are You Satisfied?,MARINA,https://i.scdn.co/image/ab67616d0000b27391b74844fa58bc06192f882f,0.669,0.712,0,25.008,1,0.0412,0.303,0.0,0.0755,0.843,124.009,infj
52Qu0no0NBho3zyRmjlsHn,Another Sad Love Song,Khalid,https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577,0.834,0.472,5,22.223,0,0.0873,0.412,6.76e-05,0.0836,0.517,107.014,infj
11bD1JtSjlIgKgZG2134DZ,Chasing Cars,Snow Patrol,https://i.scdn.co/image/ab67616d0000b27315a6fad25bd729dc98799b90,0.563,0.592,9,25.429000000000002,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016,infj
