_id,artist,image_url,release_date,id,name,popularity,mbti
61b1eebb2dde1bd4a713049b,Mindless Self Indulgence,https://i.scdn.co/image/ab67616d0000b273d35b1b5785bad9b1f8520b93,2011-04-26,1kTZ1aERsOBTrihsDdGFNn,Molly,70,estp
61b1eebb2dde1bd4a713049c,McCafferty,https://i.scdn.co/image/ab67616d0000b2735d4dbee48fb65c87ab07b69f,2017-11-27,2ZMxeRHTaoH1GgYAv16QyB,Trees,61,estp
61b1eebb2dde1bd4a713049d,Mindless Self Indulgence,https://i.scdn.co/image/ab67616d0000b273ccb1ab81191b680b84a2e616,2008-04-29,0YKPrW5i0gcJ9e5GNSAQti,Lights Out,59,estp
61b1eebb2dde1bd4a713049e,Olivier Cazier,https://i.scdn.co/image/ab67616d0000b2734ae888f653d2d7bd06d2abe4,2020-09-18,0A64VlPLZuN4VWy1BJwY5n,Obsession,52,estp
61b1eebb2dde1bd4a713049f,Sorority Noise,https://i.scdn.co/image/ab67616d0000b273e12d49292f2f60a732a81a71,2014-05-13,0F0bUjqrveFfAkLpZbVVkS,"Blonde Hair, Black Lungs",57,estp
61b1eebb2dde1bd4a71304a0,Panic! At The Disco,https://i.scdn.co/image/ab67616d0000b2730a8881b0d247346c3c447bf3,2005-09-27,4bPQs0PHn4xbipzdPfn6du,I Write Sins Not Tragedies,75,estp
61b1eebb2dde1bd4a71304a1,Mother Mother,https://i.scdn.co/image/ab67616d0000b2736d82586633548d5c122ee00c,2008-09-23,2kS6td1yvmpNgZTt1q5pQq,Hayloft,81,estp
61b1eebb2dde1bd4a71304a2,Destructo Disk,https://i.scdn.co/image/ab67616d0000b273e60d8b87c173b458f4f67c10,2018-08-01,75MALmx6EHZ9YLUaqRqa23,I Wish I Was A Riot Grrrl,55,estp
61b1eebb2dde1bd4a71304a3,Teddy Hyde,https://i.scdn.co/image/ab67616d0000b273b0cb0a0d42edaa23b1f4c8f0,2018-04-02,1Y2583xYzwiEXDetAB7H1Q,Sex with a Ghost,71,estp
61b1eebb2dde1bd4a71304a4,Mindless Self Indulgence,https://i.scdn.co/image/ab67616d0000b2739b8cb2bda5bae9b8354a9d89,2013,1VdAWlvKSEe7nDd1zYok9O,Witness,54,estp
61b1eebb2dde1bd4a71304a5,Mother Mother,https://i.scdn.co/image/ab67616d0000b2736d82586633548d5c122ee00c,2008-09-23,0VmREvheUiN0xgM5fJYQqp,Body,70,estp
61b1eebb2dde1bd4a71304a6,Mindless Self Indulgence,https://i.scdn.co/image/ab67616d0000b273ccb1ab81191b680b84a2e616,2008-04-29,2JbBt7EID9Azxi9q15VRnO,Prescription,55,estp
61b1eebb2dde1bd4a71304a7,McCafferty,https://i.scdn.co/image/ab67616d0000b273e993692743470c7ed913c2f7,2014-01-01,70uQzsAyJ1vmloywhrO0ss,Beachboy,69,estp
61b1eebb2dde1bd4a71304a8,Mother Mother,https://i.scdn.co/image/ab67616d0000b2736d82586633548d5c122ee00c,2008-09-23,2y51QpLzI5qbWfCcSx9Tu1,Wrecking Ball,66,estp
61b1eebb2dde1bd4a71304a9,Mindless Self Indulgence,https://i.scdn.co/image/ab67616d0000b273ccb1ab81191b680b84a2e616,2008-04-29,1OzBgu7EIcab8wxnpWB9Qu,Mastermind,51,estp
61b1eebb2dde1bd4a71304aa,Tally Hall,https://i.scdn.co/image/ab67616d0000b27325a5a1ed28871e8e53e62d59,2011-06-21,3xpdefOloYCBXd3UR6MVyM,Turn the Lights Off,67,estp
61b1eebb2dde1bd4a71304ab,Sir Chloe,https://i.scdn.co/image/ab67616d0000b273f6ab3aa52a1b776a859c9ec7,2020-10-23,1iBljl6IFBU6OkUMJVKMbn,Animal,70,estp
