_id,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,type,valence
61b1eeb52dde1bd4a713027f,0.0147,0.453,0.791,75MALmx6EHZ9YLUaqRqa23,0,1,0.131,-5.276,1,0.0752,170.238,audio_features,0.562
61b1eeb52dde1bd4a7130280,0.862,0.478,0.33,1baoZlq32nBee9tcYbQYxV,0.00113,11,0.176,-12.4,0,0.0339,79.484,audio_features,0.413
61b1eeb52dde1bd4a7130281,0.000197,0.56,0.925,1VdAWlvKSEe7nDd1zYok9O,0.0231,6,0.355,-3.821,0,0.0871,146.024,audio_features,0.628
61b1eeb52dde1bd4a7130282,0.131,0.596,0.633,0VmREvheUiN0xgM5fJYQqp,0,10,0.343,-3.602,0,0.0594,148.09,audio_features,0.473
61b1eeb52dde1bd4a7130283,0.0459,0.593,0.904,2JbBt7EID9Azxi9q15VRnO,0,11,0.399,-4.895,0,0.0463,165.851,audio_features,0.817
61b1eeb52dde1bd4a7130284,0.0413,0.431,0.962,70uQzsAyJ1vmloywhrO0ss,0.000211,4,0.124,-7.216,1,0.182,179.683,audio_features,0.75
61b1eeb52dde1bd4a7130285,0.194,0.664,0.797,2y51QpLzI5qbWfCcSx9Tu1,0,7,0.337,-4.473,1,0.0362,97.004,audio_features,0.284
61b1eeb52dde1bd4a7130286,0.00535,0.561,0.845,1OzBgu7EIcab8wxnpWB9Qu,0.0647,6,0.0706,-6.27,0,0.1,119.966,audio_features,0.507
61b1eeb52dde1bd4a7130287,0.137,0.392,0.702,3xpdefOloYCBXd3UR6MVyM,0,6,0.109,-6.509,1,0.0848,188.606,audio_features,0.771
61b1eeb52dde1bd4a7130288,0.407,0.495,0.457,1iBljl6IFBU6OkUMJVKMbn,0.00000125,7,0.142,-6.072,1,0.0306,82.825,audio_features,0.342
61b1eeb52dde1bd4a7130289,0.441,0.642,0.594,1MOyN6opDPpLi3nTfgEcjS,0.0052,9,0.0941,-5.542,1,0.0654,114.344,audio_features,0.648
61b1eeb52dde1bd4a713028a,0.00615,0.661,0.836,08KTQSs3ickNki7FFTb6fY,0,1,0.032,-4.079,0,0.0297,137.507,audio_features,0.799
61b1eeb52dde1bd4a713028b,0.00192,0.391,0.957,43FtpuAePqILFhq4yrWeQu,0,7,0.317,-3.527,1,0.0501,89.509,audio_features,0.544
61b1eeb52dde1bd4a713028c,0.0439,0.811,0.315,6ibbHAoBrdqJxo345QGumd,0,0,0.126,-11.55,1,0.0438,100.024,audio_features,0.972
61b1eeb52dde1bd4a713028d,0.000673,0.589,0.797,3oZUlZMXkj51AyYG8lGaE7,0,1,0.0246,-4.213,1,0.173,174.039,audio_features,0.787
61b1eeb52dde1bd4a713028e,0.0486,0.425,0.785,0xLCawHAfE3tqlPWRvhT49,0,7,0.377,-4.816,1,0.0372,143.903,audio_features,0.319
61b1eeb52dde1bd4a713028f,0.00139,0.516,0.85,37mfTcSlX60JtAvAETytGs,0,4,0.296,-3.909,0,0.0706,120.324,audio_features,0.583
61b1eeb52dde1bd4a7130290,0.000456,0.304,0.933,0lUSIaEhUApWIbru6IX21z,0.5,2,0.223,-3.499,1,0.0623,151.156,audio_features,0.115
61b1eeb52dde1bd4a7130291,0.00927,0.608,0.845,4hs2FbesB8qo6H5Berbikd,0.0000134,9,0.332,-4.938,0,0.0641,123.991,audio_features,0.518
61b1eeb52dde1bd4a7130292,0.00213,0.696,0.87,6HSbHJSeDXW0nej0oSXSE1,0.000229,2,0.0525,-3.566,1,0.0487,117.998,audio_features,0.876
61b1eeb52dde1bd4a7130293,0.666,0.227,0.431,2aDk1KkyB7ieSwwEDXCHJg,0.0239,7,0.126,-9.527,0,0.0432,76.986,audio_features,0.575
61b1eeb52dde1bd4a7130294,0.0506,0.463,0.857,7j31rVgGX9Q2blT92VBEA0,0,4,0.184,-3.063,1,0.0632,111.647,audio_features,0.856
61b1eeb52dde1bd4a7130295,0.539,0.927,0.454,7fBKbK8897K5V5zgr7ymIz,0.182,10,0.115,-11.767,0,0.191,114.016,audio_features,0.32
61b1eeb52dde1bd4a7130296,0.00978,0.421,0.935,3EY1vEkydU2oguC17jzhTZ,0,7,0.165,-2.601,1,0.438,155.855,audio_features,0.645
61b1eeb52dde1bd4a7130297,0.629,0.422,0.302,2WZ3zMVFxuC5i20jQrnPyE,0.0000783,11,0.104,-9.214,1,0.0372,114.089,audio_features,0.123
61b1eeb52dde1bd4a7130298,0.331,0.797,0.755,7CFfqRW50ffULvBv7lfIIg,0.00000226,2,0.124,-5.393,1,0.0293,129.955,audio_features,0.411
61b1eeb52dde1bd4a7130299,0.000109,0.414,0.889,6D60SYI1Jk4V023qpJa4oi,0.00000425,11,0.0705,-9.578,1,0.0567,100.243,audio_features,0.512
